"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2019","807.54","808.92","810.60","805.87","","-0.13%"
"01/31/2019","808.56","808.28","810.28","807.08","","0.24%"
"01/30/2019","806.66","809.01","809.01","805.10","","0.05%"
"01/29/2019","806.26","801.69","806.29","799.18","","0.67%"
"01/28/2019","800.86","803.46","804.64","799.06","","0.01%"
"01/25/2019","800.81","798.04","803.08","797.35","","0.52%"
"01/24/2019","796.68","795.88","796.85","793.81","","0.05%"
"01/23/2019","796.28","798.49","799.31","793.95","","-0.22%"
"01/22/2019","798.03","802.39","802.78","797.20","","-0.59%"
"01/21/2019","802.74","805.92","806.98","800.36","","-0.13%"
"01/18/2019","803.82","799.20","803.82","799.06","","0.73%"
"01/17/2019","797.97","798.73","799.39","795.15","","-0.22%"
"01/16/2019","799.69","798.92","799.69","796.60","","0.08%"
"01/15/2019","799.03","799.33","800.27","797.00","","0.14%"
"01/14/2019","797.92","804.19","804.76","796.77","","-0.44%"
"01/11/2019","801.43","798.55","801.43","798.05","","0.34%"
"01/10/2019","798.73","801.67","801.82","796.18","","-0.29%"
"01/09/2019","801.02","799.30","803.52","799.30","","0.31%"
"01/08/2019","798.53","796.31","802.51","796.02","","0.28%"
"01/07/2019","796.27","794.81","797.35","792.32","","0.40%"
"01/04/2019","793.13","779.38","793.13","779.08","","1.57%"
"01/03/2019","780.87","777.04","782.54","777.04","","0.29%"
"01/02/2019","778.59","768.61","778.59","763.81","","1.83%"
"12/28/2018","764.61","751.09","764.98","751.09","","2.38%"
"12/27/2018","746.84","759.03","762.37","744.57","","-1.85%"
"12/21/2018","760.89","760.88","761.32","752.55","","-0.01%"
"12/20/2018","760.94","767.26","767.26","758.70","","-1.06%"
"12/19/2018","769.12","776.12","777.26","767.03","","-0.86%"
"12/18/2018","775.79","787.00","787.00","774.89","","-1.34%"
"12/17/2018","786.34","791.05","791.50","782.35","","-0.67%"
"12/14/2018","791.63","790.36","792.91","786.50","","0.12%"
"12/13/2018","790.69","794.86","796.54","789.38","","-0.52%"
"12/12/2018","794.84","789.44","795.05","789.17","","0.70%"
"12/11/2018","789.30","782.50","790.66","782.50","","1.01%"
"12/10/2018","781.39","794.78","794.78","780.11","","-1.68%"
"12/07/2018","794.77","789.92","797.72","789.92","","0.83%"
"12/06/2018","788.24","801.77","801.77","786.23","","-1.90%"
"12/05/2018","803.51","805.64","805.64","799.24","","-0.61%"
"12/04/2018","808.46","814.86","814.86","808.08","","-0.71%"
"12/03/2018","814.25","818.02","822.98","810.38","","-0.01%"
"11/30/2018","814.31","813.09","816.75","810.90","","0.15%"
"11/29/2018","813.05","808.20","817.36","808.20","","0.35%"
"11/28/2018","810.25","808.58","813.64","807.60","","0.19%"
"11/27/2018","808.69","810.25","811.36","807.48","","-0.08%"
"11/26/2018","809.34","809.11","811.99","805.89","","0.25%"
"11/23/2018","807.32","806.46","810.96","805.26","","0.11%"
"11/22/2018","806.47","806.23","809.04","803.62","","0.14%"
"11/21/2018","805.35","797.07","805.35","795.76","","1.05%"
"11/20/2018","797.02","814.99","816.15","789.80","","-2.36%"
"11/19/2018","816.27","825.95","827.62","816.04","","-0.95%"
"11/16/2018","824.07","823.67","830.01","820.97","","0.44%"
"11/15/2018","820.44","826.19","829.56","815.55","","-0.67%"
"11/14/2018","825.98","835.94","835.94","821.54","","-1.26%"
"11/13/2018","836.56","846.93","849.31","830.72","","-1.33%"
"11/12/2018","847.85","861.60","862.69","845.58","","-1.32%"
"11/09/2018","859.19","861.32","862.25","856.34","","0.09%"
"11/08/2018","858.43","860.38","863.63","857.78","","0.07%"
"11/07/2018","857.80","849.66","858.69","848.88","","0.94%"
"11/06/2018","849.77","854.38","854.38","848.27","","-0.55%"
"11/05/2018","854.47","853.94","854.62","850.32","","0.22%"
"11/02/2018","852.58","841.94","852.91","841.94","","1.25%"
"11/01/2018","842.07","844.65","847.53","840.01","","-0.48%"
"10/31/2018","846.15","827.59","846.15","827.59","","2.70%"
"10/30/2018","823.87","819.82","823.93","816.93","","0.59%"
"10/29/2018","819.01","807.73","822.88","807.40","","1.86%"
"10/26/2018","804.02","810.75","811.37","799.49","","-0.87%"
"10/25/2018","811.10","817.67","817.67","808.58","","-1.58%"
"10/24/2018","824.11","828.11","830.59","821.57","","-0.25%"
